ID,Tema,Keyword principal,Keyword secundaria,Tipo de página,Ciudad,Oferta conectada,Prioridad,Estado,Fecha objetivo,Notas
001,Software de inventario para barberías,software inventario barbería,control stock barbería,Landing SEO,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-01,page.tsx ya definido en site-config.ts. Usar SeoLandingPage. ID CSV: 090.
002,CRM para barberías,crm clientes barbería,gestión clientes barbería,Landing SEO,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-01,page.tsx ya definido en site-config.ts. Usar SeoLandingPage. ID CSV: 091.
003,WhatsApp para barberías,whatsapp para barberías,automatización whatsapp barbería,Landing SEO,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,page.tsx ya definido en site-config.ts. Usar SeoLandingPage. ID CSV: 092.
004,Marketing para barberías,marketing para barberías,publicidad digital barbería,Landing SEO,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,page.tsx ya definido en site-config.ts. Usar SeoLandingPage. ID CSV: 093.
005,Software para barberías en Madrid,software para barberías Madrid,reservas online barbería Madrid,Landing ciudad,Madrid,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Segundo mercado más grande de España. Usar patrón /barberias/[city].
006,Software para barberías en Valencia,software para barberías Valencia,agenda online barbería Valencia,Landing ciudad,Valencia,BarberíaOS SaaS,Media,Pendiente — CREAR,2026-07-01,Tercer mercado por volumen de barberías en España.
007,Software para barberías en Sevilla,software para barberías Sevilla,reservas barbería Sevilla,Landing ciudad,Sevilla,BarberíaOS SaaS,Media,Pendiente — CREAR,2026-07-01,Mercado sur. Alta densidad de barberías afro y urbanas.
008,Software para barberías en Bilbao,software barberías Bilbao,agenda barberías Bilbao,Landing ciudad,Bilbao,BarberíaOS SaaS,Baja,Pendiente — CREAR,2026-08-01,Mercado norte. Incluir en generateSitemapEntries.
009,Software para barberías en Zaragoza,software barberías Zaragoza,reservas online barberías Zaragoza,Landing ciudad,Zaragoza,BarberíaOS SaaS,Baja,Pendiente — CREAR,2026-08-01,Incluir en generateSitemapEntries junto a Bilbao.
010,Alternativa a Treatwell para barberías,alternativa treatwell barbería,treatwell sin comisión barbería,Landing comparativa,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Treatwell cobra comisión por reserva. BarberíaOS no. Diferenciador clave.
011,Alternativa a Booksy para barberías,alternativa booksy barbería,booksy para barberías precio,Landing comparativa,,BarberíaOS SaaS,Alta,En sitio — /alternativa-booksy-barberias,2026-05-16,Ya existe. Pendiente: revisar canonical + JSON-LD FAQPage.
012,Alternativa a Glofox para barberías,alternativa glofox barbería,glofox para barberías precio,Landing comparativa,,BarberíaOS SaaS,Media,Pendiente — CREAR,2026-07-01,Glofox orientado a gyms pero compite en barberías premium.
013,Alternativa a Fresha para barberías,alternativa fresha barbería,fresha sin comisión barbería,Landing comparativa,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Fresha es competidor directo con modelo freemium + comisión.
014,Cómo conseguir reseñas en Google para tu barbería,conseguir reseñas google barbería,pedir reseñas google barbería,Blog — Guía informacional,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Intención informacional. CTA a módulo de reseñas del dashboard.
015,Cómo recuperar clientes que no vuelven a tu barbería,recuperar clientes barbería,clientes dormidos barbería,Blog — Guía informacional,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Conecta con módulo /dashboard/recuperacion.
016,Cómo organizar la agenda de tu barbería sin caos,organizar agenda barbería,gestión citas barbería eficiente,Blog — Guía informacional,,BarberíaOS SaaS,Media,Pendiente — CREAR,2026-07-01,Informacional. Conecta con agenda y reservas. CTA a demo.
017,App de reservas para barberías,app reservas barbería,aplicación citas barbería móvil,Landing SEO,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Keyword transaccional alta. Diferente de software-para-barberias.
018,Sistema de gestión para barberías,sistema gestión barbería,programa para gestionar barbería,Landing SEO,,BarberíaOS SaaS,Media,Pendiente — CREAR,2026-07-01,Keyword genérica. Complementa /software-para-barberias.
019,Control de caja para barberías,control caja barbería,ingresos y gastos barbería,Landing SEO,,BarberíaOS SaaS,Media,En sitio — /caja-para-barberias,2026-05-16,Ya existe. Pendiente: revisar canonical + añadir FAQPage.
020,Cómo fidelizar clientes en tu barbería,fidelizar clientes barbería,programa de fidelización barbería,Blog — Guía informacional,,BarberíaOS SaaS,Media,Pendiente — CREAR,2026-07-01,Conecta con Plan Growth y módulo de campañas del dashboard.
021,Directorio de barberías en España,directorio barberías España,encontrar barbería cerca,Landing directorio,,Directorio público,Media,En sitio — /barberias,2026-05-16,Ya existe. Requiere barberías reales para tener valor SEO.
022,Historia de éxito: primera barbería fundadora,caso de éxito barbería software,barbería digital España,Caso de estudio,,Movimiento 1000 Barberías,Alta,Pendiente — CREAR,2026-07-01,Publicar cuando haya 1 barbería real usando el sistema activamente.
023,Estadísticas y reportes para tu barbería,estadísticas barbería,reportes ventas barbería mensuales,Blog — Guía informacional,,BarberíaOS SaaS,Baja,Pendiente — CREAR,2026-08-01,Conecta con Plan Premium y módulo /dashboard/estadisticas.
024,Guía: cómo pasar de WhatsApp a reservas online,dejar de gestionar citas por whatsapp,reservas automáticas barbería,Blog — Guía informacional,,BarberíaOS SaaS,Alta,Pendiente — CREAR,2026-06-15,Pain point #1 del cliente ideal. CTA directo a demo y /movimiento.
